DEPT,GR,ILD,DPHI,SitID,Pick
241.75,48.632,48.77,0.373,113889,0
242.0,47.488,51.089,0.374,113889,0
242.25,47.719,52.318,0.373,113889,0
242.5,49.08,52.266,0.367,113889,0
242.75,49.373,53.215,0.359,113889,0
243.0,48.856,54.287,0.351,113889,0
243.25,48.586,52.93,0.348,113889,0
243.5,48.317,51.227,0.354,113889,0
243.75,48.362,50.99,0.349,113889,0
244.0,49.847,53.81,0.341,113889,0
244.25,48.634,60.324,0.342,113889,0
244.5,49.305,55.995,0.353,113889,0
244.75,54.302,33.847,0.35,113889,0
245.0,73.643,17.797,0.334,113889,0
245.25,84.212,9.736,0.303,113889,0
245.5,80.936,6.11,0.301,113889,0
245.75,81.292,4.105,0.296,113889,0
246.0,78.581,4.372,0.284,113889,0
246.25,71.734,3.953,0.273,113889,0
246.5,66.514,3.169,0.272,113889,0
246.75,64.241,4.939,0.283,113889,0
247.0,63.594,7.453,0.294,113889,0
247.25,69.341,7.969,0.285,113889,0
247.5,78.47,7.903,0.272,113889,0
247.75,87.285,6.704,0.254,113889,0
248.0,97.228,4.711,0.244,113889,0
248.25,103.536,3.741,0.25,113889,0
248.5,96.438,2.988,0.257,113889,0
248.75,92.724,3.7,0.242,113889,0
249.0,94.146,5.063,0.239,113889,0
249.25,94.003,6.176,0.256,113889,0
249.5,100.436,7.108,0.272,113889,0
249.75,99.793,7.833,0.288,113889,0
250.0,92.444,8.375,0.298,113889,0
250.25,88.663,8.957,0.294,113889,0
250.5,87.019,9.327,0.285,113889,0
250.75,81.048,10.072,0.265,113889,0
251.0,77.081,10.447,0.279,113889,0
251.25,74.867,10.736,0.3,113889,0
251.5,76.982,10.647,0.293,113889,0
251.75,82.225,10.284,0.274,113889,0
252.0,86.03,9.265,0.256,113889,0
252.25,94.156,7.741,0.24,113889,0
252.5,109.926,6.16,0.24,113889,0
252.75,122.313,4.864,0.237,113889,0
253.0,113.898,3.182,0.219,113889,0
253.25,109.746,2.397,0.185,113889,0
253.5,109.79,2.78,0.188,113889,0
253.75,110.21,3.011,0.201,113889,0
254.0,106.62,3.414,0.209,113889,0
254.25,107.79,4.026,0.194,113889,0
254.5,111.533,4.015,0.185,113889,0
254.75,105.75,3.631,0.208,113889,0
255.0,91.009,3.091,0.24,113889,0
